2022/03/31 04:24:56 [error] 1168#11796: *16373 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/about.php"
2022/03/31 04:25:36 [error] 1168#11796: *16430 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/edit.php?post_type=page"
2022/03/31 04:26:00 [error] 1168#11796: *16569 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/product-title.js?ver=6.9.0 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=edit"
2022/03/31 04:26:17 [error] 1168#11796: *16760 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
2022/03/31 04:27:02 [error] 1168#11796: *16865 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
2022/03/31 04:27:32 [error] 1168#11796: *16872 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
2022/03/31 04:28:17 [error] 1168#11796: *16879 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
2022/03/31 04:28:52 [error] 1168#11796: *16888 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
2022/03/31 04:29:32 [error] 1168#11796: *16899 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
2022/03/31 04:30:17 [error] 1168#11796: *16910 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
2022/03/31 04:30:47 [error] 1168#11796: *16919 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/post.php?post=1305&action=elementor"
